label,Question 
valid,Where do you see yourself 5 years from now? 
valid,Why do you want to join hotel industry 
valid,Where do you see yourself in 5 years from now.
valid,What projects have you done and which did you like and why?
valid,N queens problem
valid,Implementation of stacks with queues and vice versa
valid,Discussion on an efficient implementation of hash tables using binary tree (was one of my projects).
valid,A program to tell if a knight on a chessboard at a given location can reach another location in <= a given number of moves
valid,Tell me about yorself
valid,What are your interests and hobbies
valid,What irritates you or you don't like
valid,How important is the job location to you
valid,Would you join if we make an offer to you
valid,Any plans for higher education
invalid,Discussion on Machine Learning
invalid,Everything related to previous projects.
valid,Normalization of database to BCNF
valid,Difference between 'having' clause and 'where' clause in MySQL
invalid,DBMS queries
invalid,I was asked the basic questions related to my subject and how it correlates to current scenario
valid,This round was jus to check out whether the candidate meet the requirements of the company and have flexibility towards work
valid,Introduce yourself.
invalid,Technical questions about specific depatment.
valid,Tell us something about yourself?
valid,Where do you see yourself in 5 years?
valid,Even though being a fresher, Why do you think you are suitable for the project we are hiring for??
valid,What will be your approach for handling the project ?
invalid,Personal Interview
invalid,Basic
invalid,GM round
valid,After being selected got the call letter.
valid,What is the difference between class container and class composition?
valid,What is the difference between C++ and Objective C and where will you use it?
valid,What is a malloc function and where is it used and how is it different from new
valid,There are fifteen horses and a racing track that can run five horses at a time. You have to figure out the top 3 horses out of those and you don't have any timer machine to measure. How will you find the top 3 horses?
valid,What is the width of a tree?
valid,How will you calculate the width of the tree?
valid,Why you want to change your current job?
valid,What is the most difficult problem that you have solved (during work) till now and why you think you could do so?
valid,What is a malloc function and where is it used and how is it different from new?
valid,What is the difference between C++ and Objective C and where will you use it?
valid,What is the difference between class container and class composition?
valid,There are fifteen horses and a racing track that can run five horses at a time. You have to figure out the top 3 horses out of those and you don't have any timer machine to measure. How will you find the top 3 horses?
valid,What is the most difficult problem that you have solved (during work) till now and why you think you could do so?
valid,Why you want to change your current job?
valid,What is the width of a tree? How will you calculate the width of the tree?
valid,What is your specific area
valid,What is your favourite subject
valid,Job locations
valid,Tell me a little about yourself.
valid,Do you work well under pre
valid,What is your greatest strength?
valid,Tell us about your educational and professional background.
valid,Tell me about your self.
valid,Why did you choose CA as a career?
valid,What are your hobbies?
valid,Do you currently have any job offers?
valid,Why do you not want to join TCS, E&Y?
valid,Why do you want to join Barclays?
valid,What is your desired profile in Finance?
valid,What qualities do you have that the other candidates doesn't\xc3\xa2\xe2\x82\xac\xe2\x80\xb9 have?
valid,What is derivatives? Explain Futures, Swaps, Options.
valid,What is PERT/CPM?
valid,What is difference between Mean, Median, Mode?
valid,Tell me about your articleship experience.
valid,How accounting of derivatives is made?
valid,What are your interests? Explain with examples.
valid,Did you take any innovative way of doing a particular assignment?
valid,What kind of skills are required to become a leader?
valid,Draw experiences from the past that will enable you to become a teacher and lead a class of 40 students. 
valid,What do you know about BloodConnect?
valid,Why should we take you in?
valid,Are you a team player or a leader?
valid,What's your motivation to join an NGO?
valid,Why do you want to join?
valid,What do you wish to do after graduation?
valid,Why do you want to join HT as an intern?
valid,What do you see yourself doing in 5 years?
valid,Tell me about yourself
valid,What are your expectations from the company?
valid,Are you ready to relocate?
valid,What are your future plans?
valid,1. Why do you want to join Boston Scientific?
valid,2. Why finance, in particular?
valid,3. What do you want to gain at the end of the internship?
valid,1. Why do you want to join Citi?
valid,2. Why do you want a career in banking? And not consulting or finance?
valid,3. How has the Indian Economy performed in the past 2 years?
valid,Why Wipro?
valid,Tell me about yourself
valid,Why Wipro?
valid,Tell me about yourself
valid, 1 strength and weakness each
valid,Make a table in HTML
valid,Your favourite book and author
valid,What is software development life cycle
valid,WHAT ARE YOUR STRENGTH
invalid,AS-16
valid,What is knee voltage?
valid,What is a center tap transformer?
valid,What do you know about programming language?
valid,How a MOSFET works?
valid,What are your strengths?
valid,If your friends have to suggest you any improvement in you what would it be?
valid,Tell me about your achievements?
valid,What are your weaknesses?
invalid,About internships\nAbout projects\nUse cases\nPuzzels\nAbout your personality
valid,What is internal control?
invalid,Basic questions about family background
